가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,579,200"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,581,700"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/롯데카드,"1,583,500"
에티하드항공,07:55 (ICN),07:55 (BCN),"경유 2, 31시간 00분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/모든 결제수단,"1,585,800"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/모든 결제수단,"1,586,000"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,588,400"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,592,800"
LOT폴란드항공,12:30 (ICN),12:30 (BCN),"경유 1, 31시간 00분",LOT폴란드항공,13:25 (BCN),06:20 (ICN),"경유 1, 33시간 55분",성인/KB국민카드(이용실적 충족시),"1,595,000"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/BC바로카드,"1,596,000"
"아시아나항공, 오스트리아항공",20:40 (ICN),19:50 (BCN),"경유 2, 54시간 10분","아시아나항공, 오스트리아항공",20:40 (BCN),08:50 (ICN),"경유 2, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,596,700"
에어프랑스,10:50 (ICN),14:20 (BCN),"경유 1, 34시간 30분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,596,900"
터키항공,10:25 (ICN),23:00 (BCN),"경유 1, 19시간 35분",터키항공,19:00 (BCN),17:40 (ICN),"경유 1, 15시간 40분",성인/KB국민카드(이용실적 충족시),"1,597,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),16:25 (ICN),"경유 2, 39시간 20분",성인/롯데 Trip to 로카 카드,"1,598,700"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,599,500"
"아시아나항공, 루프트한자",21:10 (ICN),23:05 (BCN),"경유 2, 32시간 55분",오스트리아항공,20:40 (BCN),08:50 (ICN),"경유 2, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,600,100"
KLM네덜란드항공,10:50 (ICN),22:45 (BCN),"경유 2, 42시간 55분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,601,400"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/BC바로카드,"1,604,000"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,21:10 (BCN),16:25 (ICN),"경유 2, 36시간 15분",성인/NH채움카드,"1,605,000"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,18:05 (BCN),08:40 (ICN),"경유 1, 31시간 35분",성인/KB국민카드(이용실적 충족시),"1,611,200"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",LOT폴란드항공,13:25 (BCN),06:20 (ICN),"경유 1, 33시간 55분",성인/모든 결제수단,"1,611,500"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,15:15 (BCN),15:55 (ICN),"경유 1, 17시간 40분",성인/모든 결제수단,"1,613,200"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,613,300"
LOT폴란드항공,12:30 (ICN),12:30 (BCN),"경유 1, 31시간 00분",LOT폴란드항공,16:10 (BCN),10:50 (ICN),"경유 2, 35시간 40분",성인/롯데카드,"1,617,800"
터키항공,10:25 (ICN),17:35 (BCN),"경유 1, 38시간 10분",터키항공,19:00 (BCN),17:40 (ICN),"경유 1, 15시간 40분",성인/KB국민카드(이용실적 충족시),"1,619,800"
에어프랑스,20:30 (ICN),20:15 (BCN),"경유 2, 30시간 45분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/롯데 Trip to 로카 카드,"1,620,100"
