0,1,2
에어서울,"12:50KIX
14:50ICN
직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)
왕복 407,000원~"
피치항공,"08:00ICN
09:50KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 407,000원~"
티웨이항공,"11:50KIX
13:50ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 407,100원~"
에어부산,"07:55ICN
09:40KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 407,100원~"
이스타항공,"19:40KIX
21:40ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 407,500원~"
제주항공,"19:20ICN
21:05KIX
직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)
왕복 409,300원~"
진에어,"19:40KIX
21:40ICN
직항, 02시간 00분","성인/삼성 iD NOMAD 카드
왕복 409,300원~"
제주항공,"15:40ICN
17:30KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 409,500원~"
진에어,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/모든 결제수단
왕복 409,500원~"
에어서울,"12:05ICN
14:00KIX
직항, 01시간 55분","성인/모든 결제수단
왕복 410,100원~"
진에어,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/NH채움카드
왕복 410,300원~"
에어서울,"08:00ICN
09:50KIX
직항, 01시간 50분","성인/NH채움카드
왕복 410,300원~"
진에어,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 411,300원~"
진에어,"08:00ICN
09:50KIX
직항, 01시간 50분","성인/롯데카드
왕복 411,340원~"
